EFST_PROVOKE 挑釁狀態
EFST_ENDURE 霸體狀態
EFST_TWOHANDQUICKEN 雙手劍加速狀態
EFST_CONCENTRATION 心神凝聚狀態
EFST_HIDING 隱匿狀態
EFST_CLOAKING 偽裝狀態
EFST_ENCHANTPOISON 武器塗毒狀態
EFST_POISONREACT 毒性反彈狀態
EFST_QUAGMIRE 泥沼地狀態
EFST_ANGELUS 天使之障壁狀態
EFST_BLESSING 天使之賜福狀態
EFST_CRUCIS 天使之光狀態
EFST_INC_AGI 加速術狀態
EFST_DEC_AGI 緩速術狀態
EFST_SLOWPOISON 緩毒術狀態
EFST_IMPOSITIO 神威祈福狀態
EFST_SUFFRAGIUM 犧牲祈福狀態
EFST_ASPERSIO 撒水祈福狀態
EFST_BENEDICTIO 聖之祈福狀態
EFST_KYRIE 霸邪之陣狀態
EFST_MAGNIFICAT 聖母之頌歌狀態
EFST_GLORIA 幸運之頌歌狀態
EFST_LEXAETERNA 天使之怒狀態
EFST_ADRENALINE 速度激發狀態
EFST_WEAPONPERFECT 無視體型攻擊狀態
EFST_OVERTHRUST 凶砍狀態
EFST_MAXIMIZE 武器值最大化狀態
EFST_RIDING 騎寵出租中
EFST_FALCON 裝備獵鷹狀態
EFST_TRICKDEAD 裝死狀態
EFST_SHOUT 大聲吶喊狀態
EFST_ENERGYCOAT 能量外套狀態
EFST_BROKENARMOR 防具破碎狀態
EFST_BROKENWEAPON 武器破碎狀態
EFST_ILLUSION 幻視狀態
EFST_WEIGHTOVER50 負重 50%
EFST_WEIGHTOVER90 負重 90%
EFST_ATTHASTE_POTION1 集中藥水狀態
EFST_ATTHASTE_POTION2 覺醒藥水狀態
EFST_ATTHASTE_POTION3 菠色克藥水狀態
EFST_ATTHASTE_INFINITY 無限攻擊加速狀態
EFST_MOVHASTE_POTION 移動速度上升狀態
EFST_MOVHASTE_INFINITY 無限移動加速狀態
EFST_AUTOCOUNTER 反擊狀態
EFST_SPLASHER 毒性感染狀態
EFST_ANKLESNARE 定位陷阱狀態
EFST_POSTDELAY 動作延遲
EFST_NOACTION
EFST_IMPOSSIBLEPICKUP
EFST_BARRIER 能源外套狀態
EFST_NOEQUIPWEAPON 卸除武器狀態
EFST_NOEQUIPSHIELD 卸除盾牌狀態
EFST_NOEQUIPARMOR 卸除鎧甲狀態
EFST_NOEQUIPHELM 卸除頭盔狀態
EFST_PROTECTWEAPON 化學武器保護狀態
EFST_PROTECTSHIELD 化學盾牌保護狀態
EFST_PROTECTARMOR 化學鎧甲保護狀態
EFST_PROTECTHELM 化學頭盔保護狀態
EFST_AUTOGUARD 自動防禦狀態
EFST_REFLECTSHIELD 反射盾狀態
EFST_DEVOTION 犧牲狀態
EFST_PROVIDENCE 神祐之光狀態
EFST_DEFENDER 光之盾狀態
EFST_WEAPONPROPERTY 賦與武器屬性狀態(肯貝特)
EFST_AUTOSPELL 自動念咒狀態
EFST_SPECIALZONE 特殊領域
EFST_MASK 獸人臉
EFST_SPEARQUICKEN 長矛加速術狀態
EFST_BDPLAYING
EFST_WHISTLE 吹口哨狀態
EFST_ASSASSINCROSS 刺客的黃昏狀態
EFST_POEMBRAGI 布萊奇之詩狀態
EFST_APPLEIDUN 伊登的蘋果狀態
EFST_HUMMING 哼唱之音狀態
EFST_DONTFORGETME 勿忘我狀態
EFST_FORTUNEKISS 女神之吻狀態
EFST_SERVICEFORYOU 為您服務狀態
EFST_RICHMANKIM 經驗值倍增狀態
EFST_ETERNALCHAOS 永遠的混沌狀態
EFST_DRUMBATTLEFIELD 戰鼓震天狀態
EFST_RINGNIBELUNGEN 尼貝隆根之戒指狀態
EFST_ROKISWEIL 洛奇的悲鳴狀態
